timestep,reward
44045,157.0
44132,87.0
44369,237.0
44472,103.0
44540,68.0
44835,295.0
44933,98.0
45353,420.0
45490,137.0
45687,197.0
45951,264.0
46298,347.0
46411,113.0
46647,236.0
46749,102.0
47020,271.0
47151,131.0
47333,182.0
47600,267.0
47798,198.0
47960,162.0
48041,81.0
48131,90.0
48217,86.0
48387,170.0
48641,254.0
48841,200.0
48991,150.0
49144,153.0
49320,176.0
49551,231.0
49602,51.0
49771,169.0
49954,183.0
50208,254.0
50233,25.0
50524,291.0
50668,144.0
50793,125.0
50941,148.0
51063,122.0
51305,242.0
51326,21.0
51371,45.0
51688,317.0
51752,64.0
51851,99.0
52001,150.0
52299,298.0
52435,136.0
52506,71.0
52602,96.0
52732,130.0
52912,180.0
53100,188.0
53147,47.0
53313,166.0
53456,143.0
53598,142.0
53812,214.0
54005,193.0
54207,202.0
54339,132.0
54462,123.0
54810,348.0
54938,128.0
55249,311.0
55352,103.0
55488,136.0
55641,153.0
55840,199.0
55987,147.0
56136,149.0
56214,78.0
56348,134.0
56510,162.0
56622,112.0
56884,262.0
57000,116.0
57262,262.0
57355,93.0
57552,197.0
57691,139.0
57912,221.0
58219,307.0
58368,149.0
58413,45.0
58700,287.0
59024,324.0
59199,175.0
59401,202.0
59494,93.0
59758,264.0
59877,119.0
60079,202.0
60248,169.0
60480,232.0
60601,121.0
60867,266.0
61102,235.0
61291,189.0
61655,364.0
61748,93.0
62040,292.0
62148,108.0
62376,228.0
62428,52.0
62715,287.0
63043,328.0
63252,209.0
63324,72.0
63605,281.0
63703,98.0
63848,145.0
64087,239.0
64430,343.0
64580,150.0
64695,115.0
65104,409.0
65237,133.0
65411,174.0
65564,153.0
65746,182.0
65926,180.0
66216,290.0
66350,134.0
66511,161.0
66661,150.0
66973,312.0
67185,212.0
67349,164.0
67475,126.0
67622,147.0
67890,268.0
68059,169.0
68402,343.0
68611,209.0
68711,100.0
68917,206.0
69047,130.0
69185,138.0
69346,161.0
69409,63.0
69555,146.0
69837,282.0
70244,407.0
70474,230.0
70622,148.0
70820,198.0
71163,343.0
71344,181.0
71550,206.0
71764,214.0
71946,182.0
72033,87.0
72162,129.0
72487,325.0
72764,277.0
72928,164.0
73064,136.0
73349,285.0
73397,48.0
73499,102.0
73743,244.0
73934,191.0
74247,313.0
74380,133.0
74482,102.0
74643,161.0
74826,183.0
75052,226.0
75301,249.0
75801,500.0
76301,500.0
76485,184.0
76882,397.0
77168,286.0
77397,229.0
77745,348.0
78126,381.0
78556,430.0
78722,166.0
78982,260.0
79202,220.0
79381,179.0
79601,220.0
79896,295.0
80095,199.0
80231,136.0
80429,198.0
80719,290.0
80914,195.0
81043,129.0
81153,110.0
81463,310.0
81963,500.0
82186,223.0
82240,54.0
82497,257.0
82728,231.0
83037,309.0
83208,171.0
83524,316.0
83962,438.0
84207,245.0
84707,500.0
85046,339.0
85477,431.0
85751,274.0
85947,196.0
86345,398.0
86754,409.0
87039,285.0
87207,168.0
87522,315.0
87786,264.0
88019,233.0
88263,244.0
88642,379.0
88896,254.0
88961,65.0
89046,85.0
89372,326.0
89784,412.0
89958,174.0
90116,158.0
90267,151.0
90538,271.0
90666,128.0
90839,173.0
91229,390.0
91348,119.0
91663,315.0
92021,358.0
92203,182.0
92392,189.0
92737,345.0
93147,410.0
93329,182.0
93507,178.0
93875,368.0
94193,318.0
94399,206.0
94899,500.0
95012,113.0
95393,381.0
95593,200.0
95706,113.0
96001,295.0
96263,262.0
96571,308.0
96979,408.0
97293,314.0
97663,370.0
97878,215.0
98260,382.0
98480,220.0
98681,201.0
99012,331.0
99265,253.0
99491,226.0
99727,236.0
100151,424.0
100241,90.0
100741,500.0
100955,214.0
101086,131.0
101586,500.0
102046,460.0
102242,196.0
102671,429.0
102888,217.0
103259,371.0
103473,214.0
103630,157.0
103918,288.0
104418,500.0
104679,261.0
105092,413.0
105389,297.0
105688,299.0
105899,211.0
106399,500.0
106538,139.0
106854,316.0
107046,192.0
107286,240.0
107546,260.0
107784,238.0
107998,214.0
108421,423.0
108608,187.0
108785,177.0
108947,162.0
109447,500.0
109624,177.0
109767,143.0
110164,397.0
110268,104.0
110429,161.0
110689,260.0
111005,316.0
111107,102.0
111206,99.0
111527,321.0
111808,281.0
112099,291.0
112478,379.0
112519,41.0
112862,343.0
113287,425.0
113668,381.0
113794,126.0
113873,79.0
114237,364.0
114558,321.0
115058,500.0
115467,409.0
115789,322.0
116056,267.0
116198,142.0
116483,285.0
116729,246.0
116996,267.0
117450,454.0
117891,441.0
118161,270.0
118408,247.0
118871,463.0
119252,381.0
119688,436.0
120044,356.0
120544,500.0
121044,500.0
121278,234.0
121457,179.0
121797,340.0
122248,451.0
122497,249.0
122720,223.0
123094,374.0
123236,142.0
123696,460.0
124196,500.0
124507,311.0
124741,234.0
124997,256.0
125331,334.0
125494,163.0
125994,500.0
126494,500.0
126595,101.0
126885,290.0
127187,302.0
127368,181.0
127648,280.0
127843,195.0
128325,482.0
128471,146.0
128707,236.0
129001,294.0
129376,375.0
129876,500.0
130269,393.0
130769,500.0
131143,374.0
131464,321.0
131720,256.0
132220,500.0
132670,450.0
133057,387.0
133289,232.0
133594,305.0
133959,365.0
134425,466.0
134758,333.0
134975,217.0
135475,500.0
135703,228.0
135951,248.0
136205,254.0
136500,295.0
136809,309.0
136982,173.0
137075,93.0
137575,500.0
137851,276.0
138212,361.0
138551,339.0
138849,298.0
138960,111.0
139460,500.0
139889,429.0
140389,500.0
140889,500.0
141055,166.0
141332,277.0
141678,346.0
141885,207.0
141994,109.0
142147,153.0
142288,141.0
142788,500.0
143016,228.0
143496,480.0
143870,374.0
144370,500.0
144870,500.0
145283,413.0
145783,500.0
146042,259.0
146542,500.0
146898,356.0
147388,490.0
147720,332.0
148220,500.0
148312,92.0
148812,500.0
149040,228.0
149310,270.0
149810,500.0
150310,500.0
150566,256.0
151055,489.0
151409,354.0
151909,500.0
152409,500.0
152757,348.0
153211,454.0
153352,141.0
153597,245.0
153762,165.0
154227,465.0
154499,272.0
154999,500.0
155410,411.0
155685,275.0
156084,399.0
156420,336.0
156872,452.0
157118,246.0
157242,124.0
157383,141.0
157670,287.0
157987,317.0
158192,205.0
158533,341.0
159033,500.0
159533,500.0
159996,463.0
160496,500.0
160907,411.0
161266,359.0
161760,494.0
162070,310.0
162446,376.0
162560,114.0
162597,37.0
163000,403.0
163405,405.0
163535,130.0
164006,471.0
164334,328.0
164614,280.0
165114,500.0
165517,403.0
165661,144.0
165955,294.0
166353,398.0
166470,117.0
166810,340.0
167204,394.0
167657,453.0
167876,219.0
168138,262.0
168569,431.0
168886,317.0
169030,144.0
169454,424.0
169895,441.0
170284,389.0
170542,258.0
171042,500.0
171318,276.0
171435,117.0
171935,500.0
172189,254.0
172422,233.0
