time/time_elapsed,time/total_timesteps,time/iterations,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,train/entropy_loss,train/approx_kl,train/explained_variance,train/clip_range,train/learning_rate,train/loss,train/value_loss,train/policy_gradient_loss,train/clip_fraction,train/n_updates
136,38912,19,306.6,306.6,285,-0.5620625609531998,0.01087079,0.9021323695778847,0.2,0.0003,0.728871762752533,2.172121096868068,-0.014549388845625798,0.11572265625,180
143,40960,20,320.67,320.67,285,-0.5265184962190688,0.010633664,0.8104469925165176,0.2,0.0003,0.043611373752355576,0.2625174906221218,-0.01374245721672196,0.121142578125,190
150,43008,21,334.96,334.96,285,-0.5326246968470514,0.003297271,0.014708876609802246,0.2,0.0003,0.021419715136289597,0.13243930051539793,-0.0010779198899399489,0.020166015625,200
158,45056,22,350.47,350.47,285,-0.5240297797136009,0.0037911625,0.021331787109375,0.2,0.0003,-0.007847405970096588,0.08805102338446887,-0.00267752418294549,0.032568359375,210
165,47104,23,367.02,367.02,285,-0.518231812864542,0.0020604376,0.1025475263595581,0.2,0.0003,0.011734944768249989,0.05683532583097985,-0.0008403941450524144,0.00927734375,220
172,49152,24,381.58,381.58,284,-0.5099850128404796,0.006291736,0.02855992317199707,0.2,0.0003,-0.003255292773246765,0.03711932786973193,-0.002919494063826278,0.059521484375,230
179,51200,25,394.85,394.85,284,-0.4942649696953595,0.004950743,-0.023992061614990234,0.2,0.0003,-0.011479025706648827,0.023415575244143838,-0.0009492201555985957,0.0171875,240
187,53248,26,410.49,410.49,284,-0.5062283334322274,0.0065629235,-0.006364703178405762,0.2,0.0003,0.019625678658485413,0.014646442569210194,-0.0037456521793501453,0.078076171875,250
194,55296,27,421.85,421.85,284,-0.5052157652564346,0.004419445,-0.029509902000427246,0.2,0.0003,-0.011092422530055046,0.009657326594151527,-0.004273015292710625,0.0685546875,260
201,57344,28,439.87,439.87,284,-0.504926220793277,0.0038510836,0.062175750732421875,0.2,0.0003,0.01664068177342415,0.006471285732595788,-0.0023951040144311263,0.049462890625,270
208,59392,29,449.4,449.4,284,-0.49779306733980777,0.0054639485,0.006266593933105469,0.2,0.0003,0.0015579898608848453,0.004466602348566084,-0.0003856386116240174,0.02431640625,280
216,61440,30,455.89,455.89,284,-0.4841197818517685,0.0026532998,0.024636387825012207,0.2,0.0003,-0.006326015572994947,0.002693703128625202,-0.0017622224084334448,0.02890625,290
223,63488,31,465.03,465.03,284,-0.5005814047530294,0.0047174036,-0.04057145118713379,0.2,0.0003,0.012399190105497837,0.0019742897683045157,-0.0013225668022641911,0.030078125,300
230,65536,32,473.97,473.97,284,-0.48877879651263356,0.0028237938,0.06646162271499634,0.2,0.0003,-0.003230942180380225,0.0013381120031681348,-0.001569384487811476,0.022021484375,310
237,67584,33,484.4,484.4,284,-0.48233344992622734,0.004943964,-0.09512603282928467,0.2,0.0003,-0.015605117194354534,0.0008972352105161008,4.97817643918097e-05,0.0125,320
244,69632,34,489.79,489.79,284,-0.49647243935614827,0.0017948546,-0.048652052879333496,0.2,0.0003,0.012751891277730465,0.0006054512979176252,-0.0006765873200492934,0.015771484375,330
252,71680,35,493.73,493.73,284,-0.4692252471111715,0.0026859161,0.00428396463394165,0.2,0.0003,-0.0008344993693754077,0.00043939302317994586,-0.002354648688924499,0.017431640625,340
259,73728,36,494.55,494.55,284,-0.472754267603159,0.003498815,-0.03458857536315918,0.2,0.0003,-0.026294857263565063,0.0003231847547368716,-0.0017380303848767652,0.03505859375,350
266,75776,37,494.55,494.55,284,-0.45207853419706223,0.003019577,-0.11660897731781006,0.2,0.0003,0.004899295512586832,0.000225422200213643,-0.0016447502406663262,0.0291015625,360
273,77824,38,494.55,494.55,284,-0.44843189874663947,0.0024251598,-0.1221306324005127,0.2,0.0003,-0.0027713170275092125,0.000145543320923025,-0.0013579353733803145,0.013330078125,370
280,79872,39,494.55,494.55,284,-0.4142645798623562,0.007592785,-0.06950676441192627,0.2,0.0003,0.00037201360100880265,0.00012077137666608451,-0.0029938072606455536,0.0595703125,380
288,81920,40,494.55,494.55,283,-0.40335154803469775,0.0019875038,-0.0545276403427124,0.2,0.0003,0.004493239335715771,7.574425951872854e-05,-0.0009444401643122546,0.01572265625,390
296,83968,41,497.79,497.79,283,-0.4026796423830092,0.003985744,-0.17937111854553223,0.2,0.0003,-0.01151031069457531,5.483184437480304e-05,-0.001731822306464892,0.051318359375,400
303,86016,42,500.0,500.0,283,-0.4033916677348316,0.004110165,-0.13630104064941406,0.2,0.0003,-0.003301144577562809,3.827436883909741e-05,-0.0011602115468122066,0.02568359375,410
311,88064,43,500.0,500.0,282,-0.42951317243278025,0.008566888,-0.16772747039794922,0.2,0.0003,0.009193362668156624,2.7620457527177677e-05,-0.0055201830342412,0.107958984375,420
319,90112,44,500.0,500.0,281,-0.42275870833545925,0.0050415397,-0.3307809829711914,0.2,0.0003,-0.010917549952864647,1.9294670130420856e-05,-0.003975100771640427,0.06572265625,430
327,92160,45,500.0,500.0,281,-0.4258568104356527,0.005729531,-0.30785703659057617,0.2,0.0003,-0.008032029494643211,1.6174614918895715e-05,-0.0028651107306359334,0.050146484375,440
334,94208,46,500.0,500.0,281,-0.41569899804890154,0.0040853787,-0.9528152942657471,0.2,0.0003,0.005496176425367594,1.5098468719543234e-05,-0.0018005887541221455,0.03251953125,450
341,96256,47,500.0,500.0,281,-0.3936159606091678,0.005049703,-0.7386343479156494,0.2,0.0003,0.010612142272293568,1.0564242475652464e-05,-0.0036815535800997167,0.042236328125,460
349,98304,48,500.0,500.0,281,-0.375280059594661,0.002264235,-1.0338013172149658,0.2,0.0003,-0.00018063296738546342,7.836090509272253e-06,-0.000572779803769663,0.0150390625,470
357,100352,49,500.0,500.0,281,-0.3509725805372,0.003737947,-0.9960885047912598,0.2,0.0003,-0.0019726455211639404,4.884574991592672e-06,-0.002242070497595705,0.0255859375,480
365,102400,50,500.0,500.0,280,-0.3442319916561246,0.0014483611,-0.8455518484115601,0.2,0.0003,0.004243831150233746,3.6810370403372873e-06,-0.0004710480716312304,0.023828125,490
